customer_id,name,gender,age,city,signup_date,Year,QTR,Month,Month_Name
C00001,Jayan Grover,F,27,Bangalore,2025-10-13,2025,4,10,October
C00002,Gatik Acharya,M,41,Kolkata,2025-11-03,2025,4,11,November
C00003,Jayan Shanker,Other,33,Kolkata,2024-04-20,2024,2,4,April
C00004,Miraya Seshadri,Other,20,Bangalore,2025-09-29,2025,3,9,September
C00005,Kabir Sundaram,F,30,Chennai,2025-08-20,2025,3,8,August
C00006,Miraya Majumdar,Other,39,Pune,2025-08-13,2025,3,8,August
C00007,Jayant Mannan,M,33,Pune,2025-07-25,2025,3,7,July
C00008,Prerak Rajagopalan,M,29,Bangalore,2024-06-16,2024,2,6,June
C00009,Lagan Viswanathan,Other,25,Bangalore,2025-06-17,2025,2,6,June
C00010,Drishya Ramanathan,Other,30,Delhi,2025-09-16,2025,3,9,September
C00011,Hansh Dixit,F,18,Pune,2024-02-21,2024,1,2,February
C00012,Baiju Bhagat,Other,30,Mumbai,2025-07-15,2025,3,7,July
C00013,Parinaaz Vala,M,21,Bangalore,2024-02-02,2024,1,2,February
C00014,Divyansh Rege,M,20,Chennai,2025-08-19,2025,3,8,August
C00015,Siya Korpal,M,32,Mumbai,2023-11-11,2023,4,11,November
C00016,Oorja Sule,Other,31,Mumbai,2024-08-11,2024,3,8,August
C00017,Shaan Raman,Other,28,Bangalore,2025-07-21,2025,3,7,July
C00018,Dhanush Atwal,M,29,Ahmedabad,2024-06-07,2024,2,6,June
C00019,Drishya Bhagat,F,25,Ahmedabad,2025-02-05,2025,1,2,February
C00020,Prisha Bajwa,Other,18,Pune,2025-02-16,2025,1,2,February
C00021,Neelofar Kumar,Other,29,Pune,2024-07-26,2024,3,7,July
C00022,Ahana  Sankar,M,34,Ahmedabad,2024-10-02,2024,4,10,October
C00023,Kanav Agate,M,21,Ahmedabad,2024-12-20,2024,4,12,December
C00024,Emir Kar,F,25,Chennai,2024-06-02,2024,2,6,June
C00025,Rati Wable,F,28,Hyderabad,2024-11-13,2024,4,11,November
C00026,Ahana  Sachdev,F,28,Bangalore,2023-12-28,2023,4,12,December
C00027,Lakshay Bhagat,F,29,Ahmedabad,2024-09-23,2024,3,9,September
C00028,Miraan Gala,F,30,Hyderabad,2025-01-02,2025,1,1,January
C00029,Mannat Bains,M,22,Pune,2023-11-11,2023,4,11,November
C00030,Alia Contractor,F,33,Bangalore,2024-07-07,2024,3,7,July
C00031,Kanav Jayaraman,Other,26,Bangalore,2025-09-07,2025,3,9,September
C00032,Kavya Sabharwal,Other,35,Kolkata,2024-10-03,2024,4,10,October
C00033,Myra Saxena,F,31,Hyderabad,2024-06-02,2024,2,6,June
C00034,Samarth Mand,F,32,Delhi,2025-04-15,2025,2,4,April
C00035,Yakshit Toor,F,37,Ahmedabad,2024-07-30,2024,3,7,July
C00036,Lakshay Kapoor,Other,33,Mumbai,2024-05-13,2024,2,5,May
C00037,Rhea Aggarwal,M,36,Ahmedabad,2025-03-08,2025,1,3,March
C00038,Yuvaan Kale,M,42,Pune,2024-12-10,2024,4,12,December
C00039,Pranay Bawa,Other,20,Bangalore,2024-11-19,2024,4,11,November
C00040,Taimur Kamdar,Other,24,Mumbai,2025-02-21,2025,1,2,February
C00041,Faiyaz Saraf,M,25,Delhi,2025-01-31,2025,1,1,January
C00042,Lakshit Chaudhari,Other,40,Ahmedabad,2025-06-21,2025,2,6,June
C00043,Reyansh Chawla,F,29,Mumbai,2024-06-17,2024,2,6,June
C00044,Rania Thakkar,F,24,Pune,2025-05-26,2025,2,5,May
C00045,Eshani Chad,F,22,Kolkata,2024-01-12,2024,1,1,January
C00046,Lavanya Tella,F,35,Pune,2024-06-30,2024,2,6,June
C00047,Miraya Chana,Other,32,Hyderabad,2024-05-21,2024,2,5,May
C00048,Nayantara Krish,Other,18,Pune,2024-03-24,2024,1,3,March
C00049,Sana Ahluwalia,M,25,Pune,2024-05-17,2024,2,5,May
C00050,Shamik Wable,M,18,Kolkata,2025-09-12,2025,3,9,September
C00051,Alia Balay,F,36,Chennai,2025-09-27,2025,3,9,September
C00052,Zoya Kapoor,Other,30,Mumbai,2025-07-28,2025,3,7,July
C00053,Siya Ramakrishnan,F,28,Bangalore,2025-02-21,2025,1,2,February
C00054,Dhanush Rastogi,Other,18,Mumbai,2023-11-10,2023,4,11,November
C00055,Advik Varma,F,24,Chennai,2025-03-02,2025,1,3,March
C00056,Ivan Kala,Other,34,Kolkata,2024-10-27,2024,4,10,October
C00057,Shamik Sawhney,M,27,Bangalore,2024-02-26,2024,1,2,February
C00058,Keya Loke,F,25,Kolkata,2024-09-17,2024,3,9,September
C00059,Badal Krishnan,Other,43,Pune,2025-04-12,2025,2,4,April
C00060,Myra Mall,M,18,Bangalore,2025-05-07,2025,2,5,May
C00061,Shayak Suresh,Other,24,Kolkata,2024-12-21,2024,4,12,December
C00062,Eva Lanka,Other,23,Pune,2025-03-06,2025,1,3,March
C00063,Shlok Aggarwal,M,34,Pune,2025-09-19,2025,3,9,September
C00064,Uthkarsh Chand,F,32,Mumbai,2025-10-06,2025,4,10,October
C00065,Samarth Dani,M,29,Pune,2025-04-05,2025,2,4,April
C00066,Anay Soni,F,21,Delhi,2025-04-26,2025,2,4,April
C00067,Jiya Kashyap,M,32,Mumbai,2025-08-28,2025,3,8,August
C00068,Alia Chokshi,M,18,Bangalore,2024-08-06,2024,3,8,August
C00069,Himmat Gera,F,27,Bangalore,2025-10-13,2025,4,10,October
C00070,Fateh Sampath,Other,25,Hyderabad,2024-01-21,2024,1,1,January
C00071,Indrans Rattan,Other,36,Pune,2024-08-20,2024,3,8,August
C00072,Oorja Thaker,Other,34,Mumbai,2023-11-17,2023,4,11,November
C00073,Abram Sant,Other,34,Kolkata,2024-12-04,2024,4,12,December
C00074,Pari Kanda,M,31,Mumbai,2024-10-10,2024,4,10,October
C00075,Devansh Varkey,M,40,Mumbai,2024-04-11,2024,2,4,April
C00076,Navya Goel,Other,36,Ahmedabad,2025-05-08,2025,2,5,May
C00077,Nitara Maharaj,M,21,Kolkata,2024-07-18,2024,3,7,July
C00078,Pari Sane,F,26,Delhi,2024-08-19,2024,3,8,August
C00079,Rasha Vasa,F,34,Chennai,2024-03-30,2024,1,3,March
C00080,Shlok Rajagopal,Other,31,Ahmedabad,2024-01-03,2024,1,1,January
C00081,Sumer Saraf,M,29,Delhi,2025-03-07,2025,1,3,March
C00082,Zoya Bora,F,32,Ahmedabad,2024-07-11,2024,3,7,July
C00083,Divit Chopra,M,18,Pune,2025-10-08,2025,4,10,October
C00084,Keya Saha,Other,33,Ahmedabad,2024-12-27,2024,4,12,December
C00085,Riaan Ben,F,39,Chennai,2025-08-23,2025,3,8,August
C00086,Divij Venkatesh,F,35,Kolkata,2025-01-24,2025,1,1,January
C00087,Abram Das,M,51,Delhi,2025-09-22,2025,3,9,September
C00088,Stuvan Ramesh,Other,33,Mumbai,2024-02-26,2024,1,2,February
C00089,Oorja Bhatia,F,28,Hyderabad,2024-07-24,2024,3,7,July
C00090,Mishti Kota,Other,42,Ahmedabad,2023-12-16,2023,4,12,December
C00091,Eshani Ahuja,F,22,Bangalore,2025-07-30,2025,3,7,July
C00092,Abram Shenoy,Other,26,Bangalore,2025-01-15,2025,1,1,January
C00093,Vihaan Khurana,F,29,Bangalore,2024-11-12,2024,4,11,November
C00094,Akarsh Chana,M,23,Chennai,2024-07-21,2024,3,7,July
C00095,Himmat Venkatesh,F,35,Mumbai,2025-10-05,2025,4,10,October
C00096,Alia Bedi,F,36,Bangalore,2025-08-13,2025,3,8,August
C00097,Farhan Acharya,M,26,Ahmedabad,2024-08-20,2024,3,8,August
C00098,Pari Walla,F,32,Hyderabad,2024-10-16,2024,4,10,October
C00099,Aarna Virk,F,32,Hyderabad,2025-11-07,2025,4,11,November
C00100,Neelofar Dar,F,32,Pune,2024-03-17,2024,1,3,March
C00101,Sana Bir,M,27,Kolkata,2024-11-10,2024,4,11,November
C00102,Parinaaz Mane,M,24,Pune,2025-08-29,2025,3,8,August
C00103,Shalv Sarkar,M,41,Hyderabad,2024-05-20,2024,2,5,May
C00104,Bhavin Thakur,F,24,Bangalore,2024-04-13,2024,2,4,April
C00105,Veer Verma,Other,27,Pune,2024-01-01,2024,1,1,January
C00106,Ayesha Apte,M,37,Mumbai,2025-10-01,2025,4,10,October
C00107,Alisha Bava,M,29,Chennai,2024-12-22,2024,4,12,December
C00108,Myra Gokhale,F,48,Mumbai,2023-12-21,2023,4,12,December
C00109,Purab Swamy,Other,22,Ahmedabad,2024-06-20,2024,2,6,June
C00110,Amira Yohannan,F,23,Hyderabad,2024-01-05,2024,1,1,January
C00111,Ryan Kaur,M,28,Hyderabad,2025-04-20,2025,2,4,April
C00112,Aarna Hans,F,36,Delhi,2025-07-14,2025,3,7,July
C00113,Kaira Wadhwa,M,30,Kolkata,2025-09-21,2025,3,9,September
C00114,Misha Raja,M,34,Chennai,2024-01-21,2024,1,1,January
C00115,Raunak Suri,M,42,Chennai,2025-08-24,2025,3,8,August
C00116,Jivin Hans,M,18,Hyderabad,2024-02-08,2024,1,2,February
C00117,Shlok Hegde,M,18,Kolkata,2025-05-13,2025,2,5,May
C00118,Kabir Andra,Other,24,Ahmedabad,2025-07-07,2025,3,7,July
C00119,Shanaya Kanda,M,28,Bangalore,2024-01-23,2024,1,1,January
C00120,Aayush Tripathi,F,19,Hyderabad,2025-07-11,2025,3,7,July
C00121,Yuvaan Tiwari,Other,40,Delhi,2025-06-23,2025,2,6,June
C00122,Ayesha Sur,Other,31,Mumbai,2024-01-22,2024,1,1,January
C00123,Biju Sura,F,40,Kolkata,2025-03-26,2025,1,3,March
C00124,Anvi Mall,M,29,Pune,2024-10-12,2024,4,10,October
C00125,Shalv Kata,M,29,Kolkata,2024-04-30,2024,2,4,April
C00126,Hunar Tella,M,21,Bangalore,2025-01-15,2025,1,1,January
C00127,Vritika Tailor,Other,29,Pune,2025-03-08,2025,1,3,March
C00128,Divyansh Aurora,M,39,Hyderabad,2024-07-10,2024,3,7,July
C00129,Yasmin Vasa,F,34,Ahmedabad,2025-02-03,2025,1,2,February
C00130,Samarth Karpe,M,35,Kolkata,2025-03-21,2025,1,3,March
C00131,Kabir Venkataraman,F,26,Chennai,2025-03-31,2025,1,3,March
C00132,Purab Sant,Other,22,Hyderabad,2024-01-06,2024,1,1,January
C00133,Urvi Raj,F,25,Bangalore,2024-01-29,2024,1,1,January
C00134,Samar Kulkarni,F,33,Delhi,2023-12-31,2023,4,12,December
C00135,Shray Desai,Other,21,Bangalore,2024-09-21,2024,3,9,September
C00136,Divyansh Sibal,Other,28,Pune,2024-05-06,2024,2,5,May
C00137,Indrajit Rao,M,23,Hyderabad,2024-02-06,2024,1,2,February
C00138,Adira Sane,F,22,Pune,2024-01-16,2024,1,1,January
C00139,Baiju Virk,Other,36,Mumbai,2024-11-17,2024,4,11,November
C00140,Nishith Rattan,Other,30,Ahmedabad,2024-08-18,2024,3,8,August
C00141,Ayesha Ratta,Other,38,Ahmedabad,2024-01-30,2024,1,1,January
C00142,Tiya Raval,Other,27,Mumbai,2025-03-19,2025,1,3,March
C00143,Rasha Aurora,M,38,Bangalore,2025-05-15,2025,2,5,May
C00144,Kismat Bhagat,Other,35,Ahmedabad,2024-05-04,2024,2,5,May
C00145,Zara Roy,M,23,Chennai,2024-05-31,2024,2,5,May
C00146,Reyansh Kanda,M,38,Hyderabad,2025-09-07,2025,3,9,September
C00147,Saira Chaudhary,M,23,Hyderabad,2024-10-28,2024,4,10,October
C00148,Vedika Choudhury,F,40,Chennai,2024-02-15,2024,1,2,February
C00149,Anya Gokhale,Other,41,Kolkata,2024-09-08,2024,3,9,September
C00150,Baiju Gara,Other,32,Ahmedabad,2024-02-07,2024,1,2,February
C00151,Bhamini Chaudry,F,29,Hyderabad,2025-03-08,2025,1,3,March
C00152,Seher Vaidya,Other,21,Delhi,2025-04-30,2025,2,4,April
C00153,Alia Sani,F,47,Pune,2024-03-05,2024,1,3,March
C00154,Advik Borra,M,18,Pune,2024-09-28,2024,3,9,September
C00155,Riaan Dewan,F,19,Bangalore,2024-09-01,2024,3,9,September
C00156,Gokul Gade,F,24,Kolkata,2024-07-24,2024,3,7,July
C00157,Kanav Kant,F,33,Ahmedabad,2023-12-31,2023,4,12,December
C00158,Lakshit Varty,F,18,Pune,2024-04-12,2024,2,4,April
C00159,Zeeshan Kunda,M,23,Ahmedabad,2025-10-12,2025,4,10,October
C00160,Samar Krishnan,Other,28,Ahmedabad,2024-06-02,2024,2,6,June
C00161,Riya Bhalla,F,44,Chennai,2025-05-24,2025,2,5,May
C00162,Anvi Kapoor,M,27,Kolkata,2024-07-21,2024,3,7,July
C00163,Jivin Salvi,M,28,Kolkata,2024-07-06,2024,3,7,July
C00164,Lavanya Bora,Other,40,Mumbai,2024-12-22,2024,4,12,December
C00165,Darshit Varkey,Other,28,Chennai,2024-06-17,2024,2,6,June
