customer_id,name,gender,age,city,signup_date
C00001,Jayan Grover,F,27,Bangalore,2025-10-13
C00002,Gatik Acharya,M,41,Kolkata,2025-11-03
C00003,Jayan Shanker,Other,33,Kolkata,2024-04-20
C00004,Miraya Seshadri,Other,20,Bangalore,2025-09-29
C00005,Kabir Sundaram,F,30,Chennai,2025-08-20
C00006,Miraya Majumdar,Other,39,Pune,2025-08-13
C00007,Jayant Mannan,M,33,Pune,2025-07-25
C00008,Prerak Rajagopalan,M,29,Bangalore,2024-06-16
C00009,Lagan Viswanathan,Other,25,Bangalore,2025-06-17
C00010,Drishya Ramanathan,Other,30,Delhi,2025-09-16
C00011,Hansh Dixit,F,18,Pune,2024-02-21
C00012,Baiju Bhagat,Other,30,Mumbai,2025-07-15
C00013,Parinaaz Vala,M,21,Bangalore,2024-02-02
C00014,Divyansh Rege,M,20,Chennai,2025-08-19
C00015,Siya Korpal,M,32,Mumbai,2023-11-11
C00016,Oorja Sule,Other,31,Mumbai,2024-08-11
C00017,Shaan Raman,Other,28,Bangalore,2025-07-21
C00018,Dhanush Atwal,M,29,Ahmedabad,2024-06-07
C00019,Drishya Bhagat,F,25,Ahmedabad,2025-02-05
C00020,Prisha Bajwa,Other,18,Pune,2025-02-16
C00021,Neelofar Kumar,Other,29,Pune,2024-07-26
C00022,Ahana  Sankar,M,34,Ahmedabad,2024-10-02
C00023,Kanav Agate,M,21,Ahmedabad,2024-12-20
C00024,Emir Kar,F,25,Chennai,2024-06-02
C00025,Rati Wable,F,28,Hyderabad,2024-11-13
C00026,Ahana  Sachdev,F,28,Bangalore,2023-12-28
C00027,Lakshay Bhagat,F,29,Ahmedabad,2024-09-23
C00028,Miraan Gala,F,30,Hyderabad,2025-01-02
C00029,Mannat Bains,M,22,Pune,2023-11-11
C00030,Alia Contractor,F,33,Bangalore,2024-07-07
C00031,Kanav Jayaraman,Other,26,Bangalore,2025-09-07
C00032,Kavya Sabharwal,Other,35,Kolkata,2024-10-03
C00033,Myra Saxena,F,31,Hyderabad,2024-06-02
C00034,Samarth Mand,F,32,Delhi,2025-04-15
C00035,Yakshit Toor,F,37,Ahmedabad,2024-07-30
C00036,Lakshay Kapoor,Other,33,Mumbai,2024-05-13
C00037,Rhea Aggarwal,M,36,Ahmedabad,2025-03-08
C00038,Yuvaan Kale,M,42,Pune,2024-12-10
C00039,Pranay Bawa,Other,20,Bangalore,2024-11-19
C00040,Taimur Kamdar,Other,24,Mumbai,2025-02-21
C00041,Faiyaz Saraf,M,25,Delhi,2025-01-31
C00042,Lakshit Chaudhari,Other,40,Ahmedabad,2025-06-21
C00043,Reyansh Chawla,F,29,Mumbai,2024-06-17
C00044,Rania Thakkar,F,24,Pune,2025-05-26
C00045,Eshani Chad,F,22,Kolkata,2024-01-12
C00046,Lavanya Tella,F,35,Pune,2024-06-30
C00047,Miraya Chana,Other,32,Hyderabad,2024-05-21
C00048,Nayantara Krish,Other,18,Pune,2024-03-24
C00049,Sana Ahluwalia,M,25,Pune,2024-05-17
C00050,Shamik Wable,M,18,Kolkata,2025-09-12
C00051,Alia Balay,F,36,Chennai,2025-09-27
C00052,Zoya Kapoor,Other,30,Mumbai,2025-07-28
C00053,Siya Ramakrishnan,F,28,Bangalore,2025-02-21
C00054,Dhanush Rastogi,Other,18,Mumbai,2023-11-10
C00055,Advik Varma,F,24,Chennai,2025-03-02
C00056,Ivan Kala,Other,34,Kolkata,2024-10-27
C00057,Shamik Sawhney,M,27,Bangalore,2024-02-26
C00058,Keya Loke,F,25,Kolkata,2024-09-17
C00059,Badal Krishnan,Other,43,Pune,2025-04-12
C00060,Myra Mall,M,18,Bangalore,2025-05-07
C00061,Shayak Suresh,Other,24,Kolkata,2024-12-21
C00062,Eva Lanka,Other,23,Pune,2025-03-06
C00063,Shlok Aggarwal,M,34,Pune,2025-09-19
C00064,Uthkarsh Chand,F,32,Mumbai,2025-10-06
C00065,Samarth Dani,M,29,Pune,2025-04-05
C00066,Anay Soni,F,21,Delhi,2025-04-26
C00067,Jiya Kashyap,M,32,Mumbai,2025-08-28
C00068,Alia Chokshi,M,18,Bangalore,2024-08-06
C00069,Himmat Gera,F,27,Bangalore,2025-10-13
C00070,Fateh Sampath,Other,25,Hyderabad,2024-01-21
C00071,Indrans Rattan,Other,36,Pune,2024-08-20
C00072,Oorja Thaker,Other,34,Mumbai,2023-11-17
C00073,Abram Sant,Other,34,Kolkata,2024-12-04
C00074,Pari Kanda,M,31,Mumbai,2024-10-10
C00075,Devansh Varkey,M,40,Mumbai,2024-04-11
C00076,Navya Goel,Other,36,Ahmedabad,2025-05-08
C00077,Nitara Maharaj,M,21,Kolkata,2024-07-18
C00078,Pari Sane,F,26,Delhi,2024-08-19
C00079,Rasha Vasa,F,34,Chennai,2024-03-30
C00080,Shlok Rajagopal,Other,31,Ahmedabad,2024-01-03
C00081,Sumer Saraf,M,29,Delhi,2025-03-07
C00082,Zoya Bora,F,32,Ahmedabad,2024-07-11
C00083,Divit Chopra,M,18,Pune,2025-10-08
C00084,Keya Saha,Other,33,Ahmedabad,2024-12-27
C00085,Riaan Ben,F,39,Chennai,2025-08-23
C00086,Divij Venkatesh,F,35,Kolkata,2025-01-24
C00087,Abram Das,M,51,Delhi,2025-09-22
C00088,Stuvan Ramesh,Other,33,Mumbai,2024-02-26
C00089,Oorja Bhatia,F,28,Hyderabad,2024-07-24
C00090,Mishti Kota,Other,42,Ahmedabad,2023-12-16
C00091,Eshani Ahuja,F,22,Bangalore,2025-07-30
C00092,Abram Shenoy,Other,26,Bangalore,2025-01-15
C00093,Vihaan Khurana,F,29,Bangalore,2024-11-12
C00094,Akarsh Chana,M,23,Chennai,2024-07-21
C00095,Himmat Venkatesh,F,35,Mumbai,2025-10-05
C00096,Alia Bedi,F,36,Bangalore,2025-08-13
C00097,Farhan Acharya,M,26,Ahmedabad,2024-08-20
C00098,Pari Walla,F,32,Hyderabad,2024-10-16
C00099,Aarna Virk,F,32,Hyderabad,2025-11-07
C00100,Neelofar Dar,F,32,Pune,2024-03-17
C00101,Sana Bir,M,27,Kolkata,2024-11-10
C00102,Parinaaz Mane,M,24,Pune,2025-08-29
C00103,Shalv Sarkar,M,41,Hyderabad,2024-05-20
C00104,Bhavin Thakur,F,24,Bangalore,2024-04-13
C00105,Veer Verma,Other,27,Pune,2024-01-01
C00106,Ayesha Apte,M,37,Mumbai,2025-10-01
C00107,Alisha Bava,M,29,Chennai,2024-12-22
C00108,Myra Gokhale,F,48,Mumbai,2023-12-21
C00109,Purab Swamy,Other,22,Ahmedabad,2024-06-20
C00110,Amira Yohannan,F,23,Hyderabad,2024-01-05
C00111,Ryan Kaur,M,28,Hyderabad,2025-04-20
C00112,Aarna Hans,F,36,Delhi,2025-07-14
C00113,Kaira Wadhwa,M,30,Kolkata,2025-09-21
C00114,Misha Raja,M,34,Chennai,2024-01-21
C00115,Raunak Suri,M,42,Chennai,2025-08-24
C00116,Jivin Hans,M,18,Hyderabad,2024-02-08
C00117,Shlok Hegde,M,18,Kolkata,2025-05-13
C00118,Kabir Andra,Other,24,Ahmedabad,2025-07-07
C00119,Shanaya Kanda,M,28,Bangalore,2024-01-23
C00120,Aayush Tripathi,F,19,Hyderabad,2025-07-11
C00121,Yuvaan Tiwari,Other,40,Delhi,2025-06-23
C00122,Ayesha Sur,Other,31,Mumbai,2024-01-22
C00123,Biju Sura,F,40,Kolkata,2025-03-26
C00124,Anvi Mall,M,29,Pune,2024-10-12
C00125,Shalv Kata,M,29,Kolkata,2024-04-30
C00126,Hunar Tella,M,21,Bangalore,2025-01-15
C00127,Vritika Tailor,Other,29,Pune,2025-03-08
C00128,Divyansh Aurora,M,39,Hyderabad,2024-07-10
C00129,Yasmin Vasa,F,34,Ahmedabad,2025-02-03
C00130,Samarth Karpe,M,35,Kolkata,2025-03-21
C00131,Kabir Venkataraman,F,26,Chennai,2025-03-31
C00132,Purab Sant,Other,22,Hyderabad,2024-01-06
C00133,Urvi Raj,F,25,Bangalore,2024-01-29
C00134,Samar Kulkarni,F,33,Delhi,2023-12-31
C00135,Shray Desai,Other,21,Bangalore,2024-09-21
C00136,Divyansh Sibal,Other,28,Pune,2024-05-06
C00137,Indrajit Rao,M,23,Hyderabad,2024-02-06
C00138,Adira Sane,F,22,Pune,2024-01-16
C00139,Baiju Virk,Other,36,Mumbai,2024-11-17
C00140,Nishith Rattan,Other,30,Ahmedabad,2024-08-18
C00141,Ayesha Ratta,Other,38,Ahmedabad,2024-01-30
C00142,Tiya Raval,Other,27,Mumbai,2025-03-19
C00143,Rasha Aurora,M,38,Bangalore,2025-05-15
C00144,Kismat Bhagat,Other,35,Ahmedabad,2024-05-04
C00145,Zara Roy,M,23,Chennai,2024-05-31
C00146,Reyansh Kanda,M,38,Hyderabad,2025-09-07
C00147,Saira Chaudhary,M,23,Hyderabad,2024-10-28
C00148,Vedika Choudhury,F,40,Chennai,2024-02-15
C00149,Anya Gokhale,Other,41,Kolkata,2024-09-08
C00150,Baiju Gara,Other,32,Ahmedabad,2024-02-07
C00151,Bhamini Chaudry,F,29,Hyderabad,2025-03-08
C00152,Seher Vaidya,Other,21,Delhi,2025-04-30
C00153,Alia Sani,F,47,Pune,2024-03-05
C00154,Advik Borra,M,18,Pune,2024-09-28
C00155,Riaan Dewan,F,19,Bangalore,2024-09-01
C00156,Gokul Gade,F,24,Kolkata,2024-07-24
C00157,Kanav Kant,F,33,Ahmedabad,2023-12-31
C00158,Lakshit Varty,F,18,Pune,2024-04-12
C00159,Zeeshan Kunda,M,23,Ahmedabad,2025-10-12
C00160,Samar Krishnan,Other,28,Ahmedabad,2024-06-02
C00161,Riya Bhalla,F,44,Chennai,2025-05-24
C00162,Anvi Kapoor,M,27,Kolkata,2024-07-21
C00163,Jivin Salvi,M,28,Kolkata,2024-07-06
C00164,Lavanya Bora,Other,40,Mumbai,2024-12-22
C00165,Darshit Varkey,Other,28,Chennai,2024-06-17
C00166,Biju Kale,F,18,Bangalore,2025-08-22
C00167,Ayesha Kant,M,33,Pune,2025-05-25
C00168,Kiaan Korpal,Other,18,Chennai,2024-06-19
C00169,Baiju Dhaliwal,F,30,Ahmedabad,2025-01-08
C00170,Trisha Tata,Other,37,Kolkata,2024-02-27
C00171,Hazel Bala,M,26,Ahmedabad,2025-03-27
C00172,Hansh Contractor,F,25,Ahmedabad,2024-04-24
C00173,Dharmajan Bahri,M,38,Pune,2025-06-22
C00174,Umang Bajwa,Other,29,Kolkata,2025-02-18
C00175,Mehul Srinivasan,F,26,Hyderabad,2023-12-25
C00176,Divit Guha,M,31,Kolkata,2025-07-01
C00177,Suhana Wali,F,42,Mumbai,2025-09-24
C00178,Kimaya Dixit,M,24,Mumbai,2024-12-15
C00179,Ryan Dada,Other,29,Ahmedabad,2025-06-06
C00180,Madhup Guha,M,18,Mumbai,2024-12-22
C00181,Pari Barad,M,39,Delhi,2025-10-06
C00182,Jivin Sengupta,Other,23,Pune,2024-04-06
C00183,Charvi Dara,F,32,Kolkata,2025-04-21
C00184,Nitya Kashyap,Other,43,Hyderabad,2024-12-29
C00185,Myra Vig,Other,31,Mumbai,2024-05-26
C00186,Anvi Bedi,Other,40,Ahmedabad,2024-08-17
C00187,Vivaan Venkataraman,F,38,Pune,2024-09-17
C00188,Saira Madan,F,33,Bangalore,2024-04-27
C00189,Zain Bhatnagar,Other,18,Mumbai,2025-10-03
C00190,Faiyaz Sehgal,Other,18,Pune,2024-06-06
C00191,Siya Sawhney,F,40,Pune,2025-05-28
C00192,Hiran Borah,Other,33,Chennai,2024-07-20
C00193,Lagan Varma,M,32,Bangalore,2025-04-21
C00194,Nirvi Kothari,M,26,Mumbai,2024-06-14
C00195,Diya Devi,F,26,Kolkata,2024-01-20
C00196,Miraya Dey,Other,28,Bangalore,2025-09-14
C00197,Jivika Samra,F,26,Chennai,2024-02-22
C00198,Madhup Saini,Other,32,Ahmedabad,2025-05-31
C00199,Misha Dave,M,35,Chennai,2023-12-17
C00200,Saanvi Khanna,Other,22,Ahmedabad,2025-09-06
C00201,Sumer Dasgupta,M,36,Bangalore,2024-06-24
C00202,Anika Mandal,M,30,Bangalore,2025-04-16
C00203,Diya Saraf,F,29,Mumbai,2025-01-06
C00204,Anvi Sen,Other,32,Ahmedabad,2024-01-20
C00205,Pari Toor,M,21,Pune,2023-12-15
C00206,Ela Kant,Other,24,Pune,2025-10-05
C00207,Kimaya Upadhyay,Other,18,Bangalore,2025-09-05
C00208,Vedika Mann,Other,32,Chennai,2024-08-25
C00209,Samarth Bhakta,F,29,Mumbai,2024-04-26
C00210,Shanaya Deshmukh,Other,28,Mumbai,2024-05-31
C00211,Trisha Chhabra,F,28,Delhi,2024-11-13
C00212,Taran Warrior,M,33,Delhi,2025-08-14
C00213,Vidur Karan,M,24,Delhi,2024-07-19
C00214,Aarush Som,F,31,Hyderabad,2025-01-01
C00215,Gokul Kapadia,F,38,Pune,2025-08-30
C00216,Tarini Savant,F,18,Mumbai,2025-10-28
C00217,Shlok Chokshi,Other,27,Bangalore,2023-11-11
C00218,Rohan Vala,M,23,Chennai,2025-09-24
C00219,Jayan Dugar,F,38,Ahmedabad,2024-10-15
C00220,Anahita Grover,Other,33,Kolkata,2024-10-15
C00221,Riaan Butala,F,35,Bangalore,2024-06-10
C00222,Samiha Chand,M,35,Pune,2024-03-16
C00223,Indrajit Deol,Other,43,Bangalore,2024-12-18
C00224,Riaan Deep,F,32,Ahmedabad,2023-12-18
C00225,Navya Ramesh,Other,23,Pune,2025-09-15
C00226,Adah Bir,M,33,Mumbai,2024-01-02
C00227,Ritvik Bath,M,26,Kolkata,2024-08-15
C00228,Aaryahi Dyal,Other,33,Hyderabad,2024-08-12
C00229,Jiya Sant,M,30,Mumbai,2024-05-11
C00230,Saksham Ghose,F,23,Mumbai,2024-06-05
C00231,Madhup Barad,M,28,Pune,2025-02-27
C00232,Purab Raju,Other,18,Delhi,2024-08-05
C00233,Elakshi D’Alia,F,27,Chennai,2025-11-01
C00234,Misha Deol,M,28,Chennai,2024-05-07
C00235,Yakshit Bala,M,19,Chennai,2024-06-30
C00236,Ivan Sama,M,26,Chennai,2024-04-10
C00237,Miraya Karan,Other,45,Bangalore,2024-10-19
C00238,Veer Tak,Other,34,Mumbai,2025-04-14
C00239,Drishya Sabharwal,Other,19,Mumbai,2024-05-01
C00240,Rania Bains,M,26,Pune,2024-07-11
C00241,Shanaya Kar,Other,21,Hyderabad,2025-06-19
C00242,Azad Gokhale,M,36,Bangalore,2025-01-02
C00243,Ahana  Kanda,M,23,Chennai,2024-08-27
C00244,Prerak Bala,Other,26,Delhi,2023-11-19
C00245,Zoya Tripathi,Other,37,Kolkata,2025-10-07
C00246,Riya Bhakta,Other,32,Hyderabad,2025-07-11
C00247,Samiha Balan,F,28,Chennai,2025-03-01
C00248,Ryan Raval,Other,30,Chennai,2024-05-17
C00249,Hunar Wason,F,24,Delhi,2024-06-02
C00250,Aayush Khosla,Other,42,Kolkata,2023-12-22
C00251,Drishya Gole,F,21,Ahmedabad,2024-04-13
C00252,Divyansh Thaman,M,33,Hyderabad,2024-01-08
