driver_id,name,city,gender,vehicle_id,join_date,avg_rating
D0001,Lakshit Boase,Bangalore,F,V0080,2024-08-27,4.89
D0002,Nehmat Bedi,Delhi,F,V0119,2024-10-16,4.71
D0003,Nishith Kumer,Delhi,F,V0159,2024-08-13,4.28
D0004,Vaibhav Subramaniam,Pune,F,V0096,2023-12-07,4.65
D0005,Farhan Devi,Pune,F,V0047,2024-10-14,4.6
D0006,Sara Aurora,Pune,F,V0277,2024-07-27,4.3
D0007,Khushi Gole,Ahmedabad,F,V0031,2025-04-06,4.11
D0008,Mahika Venkatesh,Chennai,F,V0203,2025-06-12,3.71
D0009,Jayan Bhakta,Delhi,M,V0058,2025-10-23,4.7
D0010,Navya Madan,Delhi,F,V0097,2024-09-17,4.7
D0011,Hiran Vaidya,Bangalore,M,V0218,2024-02-03,4.74
D0012,Ahana  Kala,Delhi,M,V0075,2025-06-25,4.42
D0013,Shray Sinha,Ahmedabad,F,V0006,2024-08-30,4.72
D0014,Kartik Deshmukh,Chennai,M,V0071,2025-08-12,5.0
D0015,Aarush Shanker,Delhi,F,V0216,2024-03-27,4.76
D0016,Lakshit Jaggi,Delhi,F,V0285,2024-12-14,4.6
D0017,Azad Chowdhury,Mumbai,F,V0170,2024-11-12,5.0
D0018,Pari Barman,Hyderabad,M,V0057,2024-10-27,3.98
D0019,Dhruv Raju,Chennai,M,V0250,2025-08-08,4.83
D0020,Kimaya Chanda,Hyderabad,F,V0227,2024-08-11,4.36
D0021,Mahika Lanka,Mumbai,F,V0241,2025-07-22,4.45
D0022,Lakshit Goswami,Bangalore,M,V0284,2025-07-21,4.78
D0023,Veer Dara,Chennai,F,V0220,2025-08-29,4.85
D0024,Dhruv Madan,Ahmedabad,F,V0091,2024-01-14,4.84
D0025,Samiha Rao,Pune,M,V0217,2025-06-02,4.09
D0026,Drishya Kumer,Hyderabad,F,V0066,2025-08-03,4.29
D0027,Faiyaz Chaudhari,Ahmedabad,M,V0126,2023-12-18,4.19
D0028,Farhan Sabharwal,Bangalore,F,V0240,2024-04-19,4.52
D0029,Jayesh Saraf,Ahmedabad,M,V0069,2024-08-05,4.63
D0030,Nehmat Bir,Hyderabad,M,V0164,2024-02-20,4.73
D0031,Jiya Wason,Mumbai,F,V0263,2024-02-02,4.67
D0032,Nitara Sharma,Bangalore,M,V0015,2024-03-02,4.64
D0033,Lakshay Sha,Bangalore,F,V0281,2023-12-03,5.0
D0034,Seher Chanda,Delhi,F,V0254,2025-04-30,4.66
D0035,Gokul Bansal,Ahmedabad,F,V0027,2025-07-01,3.9
D0036,Ishaan Khatri,Chennai,F,V0002,2023-12-15,4.89
D0037,Hunar Loyal,Chennai,M,V0032,2025-09-10,4.3
D0038,Dharmajan Ramanathan,Bangalore,M,V0099,2024-04-21,4.86
D0039,Zara Deo,Delhi,F,V0072,2025-06-15,4.63
D0040,Vidur Bala,Bangalore,M,V0294,2025-03-21,4.62
D0041,Veer Bhat,Delhi,M,V0141,2024-03-03,4.76
D0042,Tejas Dua,Bangalore,M,V0291,2024-10-19,4.31
D0043,Nitya Saha,Hyderabad,F,V0284,2025-10-07,4.29
D0044,Advika Banik,Ahmedabad,F,V0170,2024-06-16,4.29
D0045,Gokul Biswas,Chennai,M,V0195,2024-11-04,4.93
D0046,Jayan Ben,Delhi,F,V0271,2024-11-16,4.71
D0047,Diya Mahajan,Chennai,F,V0054,2025-02-09,4.21
D0048,Miraan Hegde,Bangalore,M,V0054,2024-10-19,4.29
D0049,Saanvi Ram,Chennai,M,V0057,2025-05-07,4.75
D0050,Zoya Gour,Kolkata,M,V0033,2024-03-09,4.27
D0051,Kimaya Sabharwal,Delhi,M,V0123,2024-04-25,4.83
D0052,Pihu Dhar,Chennai,M,V0059,2024-01-23,4.63
D0053,Biju Zachariah,Bangalore,M,V0112,2025-08-03,4.8
D0054,Heer Gandhi,Mumbai,F,V0283,2025-08-16,4.27
D0055,Lakshit Wason,Chennai,F,V0237,2024-02-05,4.3
D0056,Diya Kanda,Bangalore,F,V0068,2023-12-15,4.17
D0057,Ira Bala,Chennai,F,V0198,2024-07-02,4.74
D0058,Rati Salvi,Chennai,F,V0165,2024-03-11,4.1
D0059,Riaan Kala,Ahmedabad,M,V0187,2024-11-23,4.27
D0060,Pranay Rout,Hyderabad,F,V0084,2024-01-13,4.27
D0061,Zara Dubey,Pune,F,V0232,2025-08-23,4.13
D0062,Rohan Dani,Hyderabad,M,V0241,2024-08-24,4.59
D0063,Kavya Gour,Delhi,M,V0033,2023-11-29,4.57
D0064,Gokul Bhatnagar,Chennai,M,V0296,2024-07-10,4.44
D0065,Hridaan Ahuja,Mumbai,F,V0025,2024-08-30,4.57
D0066,Nehmat Gala,Ahmedabad,F,V0234,2024-01-27,4.66
D0067,Divit Mall,Mumbai,F,V0199,2025-08-05,4.43
D0068,Ayesha Subramaniam,Ahmedabad,M,V0258,2024-12-27,4.6
D0069,Hridaan Comar,Ahmedabad,F,V0214,2024-06-06,4.33
D0070,Samiha Sandhu,Kolkata,F,V0283,2024-08-16,4.4
D0071,Yuvaan Shetty,Pune,M,V0263,2025-04-18,4.68
D0072,Anvi Buch,Mumbai,F,V0184,2024-02-23,4.42
D0073,Ishaan Khatri,Kolkata,F,V0238,2024-02-11,4.61
D0074,Tanya Ranganathan,Chennai,F,V0267,2024-04-20,3.86
D0075,Divit Dash,Hyderabad,F,V0067,2024-10-21,4.39
D0076,Armaan Grover,Bangalore,F,V0230,2023-12-25,4.52
D0077,Faiyaz Ghosh,Chennai,F,V0276,2024-10-05,3.67
D0078,Veer Cherian,Bangalore,F,V0047,2024-07-26,5.0
D0079,Romil Dhawan,Hyderabad,F,V0087,2024-02-11,4.24
D0080,Prisha Deo,Kolkata,M,V0165,2025-09-30,4.15
D0081,Manikya Sachdev,Delhi,F,V0049,2024-01-05,4.64
D0082,Zaina Bedi,Ahmedabad,F,V0175,2025-02-04,4.55
D0083,Anay Goswami,Hyderabad,M,V0149,2024-05-09,4.28
D0084,Armaan Kakar,Chennai,M,V0261,2024-01-07,4.73
D0085,Urvi Hora,Chennai,F,V0225,2025-05-05,4.5
D0086,Manjari Dutta,Ahmedabad,M,V0024,2024-09-19,4.12
D0087,Arnav Salvi,Hyderabad,M,V0219,2024-05-03,5.0
D0088,Ivana Varughese,Mumbai,F,V0200,2024-05-03,4.45
D0089,Chirag Ramaswamy,Hyderabad,F,V0180,2025-04-28,4.74
D0090,Badal Sethi,Bangalore,M,V0234,2024-07-13,4.6
D0091,Armaan Suresh,Bangalore,F,V0293,2025-05-29,4.63
D0092,Rania Acharya,Bangalore,M,V0196,2024-02-09,4.23
D0093,Shamik Baria,Ahmedabad,F,V0255,2023-11-15,4.25
D0094,Purab Bobal,Chennai,F,V0113,2024-09-18,5.0
D0095,Saira Singh,Ahmedabad,F,V0047,2024-06-05,4.57
D0096,Alisha Deol,Delhi,F,V0145,2024-03-15,5.0
D0097,Saanvi Jayaraman,Mumbai,F,V0288,2024-05-19,3.99
D0098,Zeeshan Brar,Delhi,M,V0187,2025-09-02,4.07
D0099,Vedika Behl,Bangalore,F,V0260,2024-10-20,4.75
D0100,Misha Gill,Kolkata,F,V0116,2025-01-29,4.8
D0101,Zara Shetty,Chennai,M,V0274,2025-08-08,4.92
D0102,Badal Ganesan,Chennai,F,V0094,2024-05-15,3.97
D0103,Manjari Yohannan,Ahmedabad,M,V0235,2024-04-05,4.55
D0104,Urvi Barman,Ahmedabad,F,V0290,2023-12-24,4.62
D0105,Drishya Jain,Pune,F,V0248,2025-02-03,4.62
D0106,Mahika Yohannan,Kolkata,F,V0090,2024-07-28,3.88
D0107,Rohan Lad,Pune,M,V0124,2024-03-20,4.44
D0108,Amira Subramaniam,Delhi,F,V0105,2025-09-08,4.42
D0109,Shanaya Sampath,Delhi,F,V0152,2024-01-01,4.6
D0110,Dhanush Jani,Hyderabad,F,V0289,2024-12-19,4.55
D0111,Yashvi Sama,Ahmedabad,F,V0154,2025-03-07,4.19
D0112,Hazel Apte,Kolkata,M,V0229,2025-04-24,4.94
D0113,Indranil Maharaj,Ahmedabad,M,V0134,2025-05-21,3.8
D0114,Anahita Raja,Mumbai,F,V0119,2024-11-20,4.64
D0115,Anahita Kakar,Bangalore,F,V0049,2024-11-17,4.12
D0116,Divit Bora,Bangalore,F,V0057,2025-09-09,4.11
D0117,Vaibhav Dutta,Hyderabad,M,V0021,2024-11-24,4.71
D0118,Nakul Sodhi,Kolkata,M,V0253,2025-03-21,4.28
D0119,Mamooty Shenoy,Bangalore,F,V0044,2024-02-27,4.6
D0120,Sara Sur,Chennai,F,V0214,2025-07-27,4.17
D0121,Siya Kakar,Kolkata,M,V0192,2024-10-03,4.37
D0122,Anya Ahluwalia,Pune,F,V0273,2025-08-25,4.59
D0123,Nitara Chaudhuri,Pune,F,V0247,2024-08-16,4.78
D0124,Neysa Dalal,Hyderabad,M,V0088,2025-10-02,4.43
D0125,Anahita Bhatia,Delhi,F,V0055,2025-05-25,4.28
D0126,Aarna Bhavsar,Delhi,M,V0290,2025-07-31,4.34
D0127,Kismat Mall,Kolkata,M,V0123,2025-01-30,3.95
D0128,Bhamini Badami,Bangalore,F,V0218,2025-09-04,4.53
D0129,Diya Sule,Mumbai,F,V0300,2024-02-26,4.43
D0130,Reyansh Chandran,Hyderabad,M,V0215,2025-10-13,4.7
